Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",December,2021-12-31,30468372000,3923400000,19.93,7.86,74.12,0,0,10.4,73.65,0.142,0.313,0.0885,0.16,10981700000,8872000000,10.4,0.075,-0.042,244.08,19.93,13.61,2.775,2.798,3.122,11.9,0.44,468.55,192.67,209.06,257.66,146963000,None,None
BIO,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",December,2022-03-31,15082300000,687930000,3.564,4.489,456.6,0,0,140.56,97.97,1.453,0.19,0.0225,0.361,2922545000,1665661000,140.56,1.978,-0.072,711.67,3.564,40.82,5.16,1.121,5.08,2.639,0.909,832.7,488.17,563.24,686.13,24863000,None,None
BMY,Common Stock,Bristol-Myers Squibb Company,"Bristol Myers Squibb (BMS) is an American multinational pharmaceutical company, headquartered in New York City. Bristol Myers Squibb manufactures prescription pharmaceuticals and biologics in several therapeutic areas, including cancer, AIDS, cardiovascular disease, diabetes, hepatitis, rheumatoid arthritis and psychiatric disorders.",14272,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"430 E. 29TH STREET, 14 FLOOR, NEW YORK, NY, US",December,2022-03-31,159496274000,20579000000,24.05,2.437,16.52,2.01,0.0287,3.12,20.89,0.151,0.212,0.0539,0.19,46385000000,37048000000,3.12,-0.159,0.083,77.92,24.05,9.62,3.438,5.06,4.06,9.95,0.536,78.17,52.37,72.52,64.96,2125200000,2022-05-02,2022-03-31
BSX,Common Stock,Boston Scientific Corporation,"Boston Scientific Corporation, doing business as Boston Scientific, is a manufacturer of medical devices used in interventional medical specialties, including interventional radiology, interventional cardiology, peripheral interventions, neuromodulation, neurovascular intervention, electrophysiology, cardiac surgery, vascular surgery, endoscopy, oncology, urology and gynecology.",885725,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"300 BOSTON SCIENTIFIC WAY, MARLBOROUGH, MA, US",December,2022-03-31,60194140000,3102000000,61.03,2.501,11.66,0,0,0.69,8.36,0.0876,0.169,0.0399,0.0652,11888000000,8241000000,0.69,-0.58,0.154,51.04,61.03,23.92,5.06,3.621,5.57,30.8,0.831,47.5,37.96,43.75,43.3,1429450000,None,None
CAH,Common Stock,Cardinal Health Inc,"Cardinal Health, Inc. is an American multinational health care services company.",721371,NYSE,USD,USA,TRADE & SERVICES,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES","7000 CARDINAL PLACE, DUBLIN, OH, US",June,2021-12-31,16091703000,2564000000,30.19,0.593,3.603,1.958,0.0338,1.924,596.82,0.0032,0.0108,0.0262,0.373,171286004000,6975000000,1.924,-0.92,0.094,61.46,30.19,10.07,0.0939,16.12,0.108,22.31,0.921,64.53,45.03,57.3,52.88,277061000,2022-04-15,2022-03-31
CERN,Common Stock,Cerner Corporation,"Cerner Corporation is an American supplier of health information technology (HIT) services, devices, and hardware. Its headquarters are in the suburb of North Kansas City, Missouri.",804753,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,"2800 ROCKCREEK PKWY, W0162, ATTN: MARC NAUGHTON, KANSAS CITY, MO, US",December,2022-03-31,27674147000,1545053000,51.16,5.48,12.57,0.93,0.0115,1.84,19.3,0.0964,0.189,0.0909,0.136,5764824000,4763807000,1.84,0.317,0.041,92.88,51.16,25.77,4.801,7.48,4.947,19.51,0.815,94.19,68.68,93.43,83.3,293968000,2022-04-19,2022-03-25
CI,Common Stock,Cigna Corporation,"Cigna is an American multinational managed healthcare and insurance company based in Bloomfield, Connecticut. Its insurance subsidiaries are major providers of medical, dental, disability, life and accident insurance and related products and services, the majority of which are offered through employers and other groups (e.g. governmental and non-governmental organizations, unions and associations).",1739940,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"900 COTTAGE GROVE ROAD, BLOOMFIELD, CT, US",December,2021-12-31,78569071000,10153000000,15.69,0.993,145.88,4,0.0182,15.73,515.66,0.0308,0.0479,0.0336,0.111,174274003000,23159000000,15.73,-0.704,0.093,266.38,15.69,11.0,0.451,1.668,0.615,-,0.857,269.97,189.88,243.4,223.84,318377000,2022-06-23,2022-03-08
CNC,Common Stock,Centene Corporation,"Centene Corporation is a large publicly traded company and a multi-line managed care enterprise that serves as a major intermediary for both government-sponsored and privately insured health care programs. It is a healthcare insurer that focuses on managed care for uninsured, underinsured, and low-income individuals.",1071739,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"7700 FORSYTH BLVD., ST LOUIS, MO, US",December,2022-03-31,46989816000,5157000000,35.24,1.034,46.0,0,0,2.28,202.76,0.0114,0.0312,0.0313,0.0504,118175998000,19574000000,2.28,0.021,0.152,96.24,35.24,14.62,0.398,1.702,0.42,13.4,0.513,89.92,59.67,84.63,75.13,584887000,None,None
COO,Common Stock,The Cooper Companies Inc,"The Cooper Companies, Inc., branded as CooperCompanies, is a global medical device company headquartered in San Ramon, California.",711404,NYSE,USD,USA,LIFE SCIENCES,OPHTHALMIC GOODS,"6140 STONERIDGE MALL RD, STE 590, PLEASANTON, CA, US",October,2022-01-31,17602644000,924500000,18.96,2.18,140.77,0.06,0.0002,18.83,61.48,0.31,0.201,0.037,0.145,3029200000,1985200000,18.83,-0.955,0.157,476,18.96,25.84,5.81,2.57,6.95,25.9,0.851,463.56,348.94,403.01,411.29,49301600,2022-02-09,2022-01-20
CRL,Common Stock,Charles River Laboratories International Inc,"Charles River Laboratories International, Inc., is an American pharmaceutical company specializing in a variety of preclinical and clinical laboratory, gene therapy and cell therapy services for the Pharmaceutical, Medical device and Biotechnology industries. It also supplies assorted biomedical products and outsourcing services for research and development in the pharmaceutical industry and offer support in the fields of basic research, drug discovery, safety and efficacy, clinical support, and manufacturing.",1100682,NYSE,USD,USA,TRADE & SERVICES,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,"251 BALLARDVALE ST, WILMINGTON, MA, US",December,2021-12-31,12490458000,899927000,32.35,1.274,50.21,0,0,7.6,70.39,0.11,0.179,0.0634,0.168,3540160000,1337470000,7.6,-0.049,0.144,376.92,32.35,20.7,3.528,4.84,4.231,18.26,1.228,460.21,230.62,278.11,360.82,50799000,None,None
CTLT,Common Stock,Catalent Inc,"Catalent, Inc. (Catalent Pharma Solutions) is a multinational corporation headquartered in Somerset, New Jersey. It is a global provider of delivery technologies, development, drug manufacturing, biologics, gene therapies and consumer health products.",1596783,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"14 SCHOOLHOUSE ROAD, SOMERSET, NJ, US",June,2021-12-31,16221831000,1116000000,28.09,1.814,25.03,0,0,3.224,26.14,0.135,0.176,0.0535,0.146,4483000000,1352000000,3.224,0.156,0.336,144.54,28.09,21.79,3.619,3.62,4.359,16.26,1.383,142.64,86.34,101.32,117.8,179128000,None,None
CVS,Common Stock,CVS Health Corporation,"CVS Health (previously CVS Corporation and CVS Caremark Corporation) is an American healthcare company that owns CVS Pharmacy, a retail pharmacy chain; CVS Caremark, a pharmacy benefits manager; Aetna, a health insurance provider, among many other brands. The company's headquarters is in Woonsocket, Rhode Island.",64803,NYSE,USD,USA,TRADE & SERVICES,RETAIL-DRUG STORES AND PROPRIETARY STORES,"ONE CVS DR., WOONSOCKET, RI, US",December,2021-12-31,126236951000,18289000000,16.16,1.574,56.79,2,0.0229,5.95,220.56,0.0272,0.0474,0.0371,0.109,290912010000,50849000000,5.95,0.29,0.1,117.09,16.16,11.63,0.434,1.681,0.649,10.88,0.787,110.68,77.8,103.87,95.12,1313190000,2022-05-02,2022-04-21
DGX,Common Stock,Quest Diagnostics Incorporated,"Quest Diagnostics is an American clinical laboratory. A Fortune 500 company, Quest operates in the United States, Puerto Rico, Mexico, and Brazil. Quest also maintains collaborative agreements with various hospitals and clinics across the globe.",1022079,NYSE,USD,USA,LIFE SCIENCES,SERVICES-MEDICAL LABORATORIES,"3 GIRALDA FARMS, MADISON, NJ, US",December,2022-03-31,15541473000,2854000000,8.52,1.237,54.15,2.48,0.0197,15.55,86.3,0.185,0.227,0.111,0.309,10788000000,4243000000,15.55,-0.256,-0.086,152.07,8.52,14.64,1.441,2.463,1.841,6.58,1.105,172.55,123.95,137.11,145.64,117365000,2022-04-20,2022-04-05
DHR,Common Stock,Danaher Corporation,"Danaher Corporation is an American globally diversified conglomerate with its headquarters in Washington, D.C.. The company designs, manufactures, and markets professional, medical, industrial, and commercial products and services. The company's 3 platforms are Life Sciences, Diagnostics, and Environmental & Applied Solutions.",313616,NYSE,USD,USA,LIFE SCIENCES,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL","2200 PENNSYLVANIA AVE. N.W., SUITE 800W, WASHINGTON, DC, US",December,2022-03-31,182590849000,10336000000,29.15,3.909,58.6,0.84,0.004,8.61,41.22,0.218,0.277,0.0641,0.149,29453001000,18056000000,8.61,0.444,0.205,329.74,29.15,24.1,6.2,4.238,6.73,20.23,0.78,333.22,237.61,276.8,299.05,727077000,2022-04-29,2022-03-24
DVA,Common Stock,DaVita Inc,DaVita Inc. provides kidney dialysis services through a network of outpatient dialysis centers in the United States.,927066,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","2000 16TH STREET, DENVER, CO, US",December,2021-12-31,10304157000,2451048000,12.18,1.247,7.77,0,0,8.9,110.41,0.0842,0.152,0.0649,0.46,11618797000,3646383000,8.9,0.193,0.013,127,12.18,13.61,0.887,13.64,1.876,8.77,1.179,136.48,94.38,114.02,114.82,95083000,None,None
DXCM,Common Stock,DexCom Inc,"DexCom, Inc. is a company that develops, manufactures, and distributes continuous glucose monitoring (CGM) systems for diabetes management. It operates internationally with headquarters in San Diego, California, and has a manufacturing facility in Mesa, Arizona.",1093557,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"6340 SEQUENCE DRIVE, SAN DIEGO, CA, US",December,2022-03-31,38798983000,349800000,255.1,4.636,23.21,0,0,1.55,25.32,0.0632,0.109,0.0363,0.0759,2448500000,1680500000,1.55,-0.027,0.227,550.06,255.1,120.48,15.85,17.81,15.25,100.8,0.929,659.45,318.45,452.13,506.5,98126000,None,None
EW,Common Stock,Edwards Lifesciences Corporation,"Edwards Lifesciences is an American medical technology company headquartered in Irvine, California, specializing in artificial heart valves and hemodynamic monitoring.",1099800,NYSE,USD,USA,LIFE SCIENCES,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES","ONE EDWARDS WAY, IRVINE, CA, US",December,2022-03-31,65862189000,1721300000,44.51,3.271,9.35,0,0,2.38,8.39,0.287,0.303,0.126,0.289,5232500000,3983600000,2.38,0.095,0.116,130.73,44.51,41.15,12.59,11.25,12.13,36.54,1.147,131.73,87.32,113.68,115.26,621317000,None,None
GILD,Common Stock,Gilead Sciences Inc,"Gilead Sciences, Inc. is an American biopharmaceutical company headquartered in Foster City, California, that focuses on researching and developing antiviral drugs used in the treatment of HIV, hepatitis B, hepatitis C, and influenza, including Harvoni and Sovaldi.",882095,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","333 LAKESIDE DR, FOSTER CITY, CA, US",December,2022-03-31,74518577000,13220000000,12.04,0.497,16.8,2.84,0.0492,4.93,21.74,0.228,0.409,0.102,0.316,27305001000,21779000000,4.93,-0.757,-0.024,69.9,12.04,9.03,2.729,3.537,3.468,8.36,0.416,73.19,56.6,60.55,67.08,1255790000,2022-06-29,2022-06-14
HCA,Common Stock,HCA Healthcare Inc,"HCA Healthcare is an American for-profit operator of health care facilities that was founded in 1968. It is based in Nashville, Tennessee, and, as of May 2020, owns and operates 186 hospitals and approximately 2,000 sites of care, including surgery centers, freestanding emergency rooms, urgent care centers and physician clinics in 21 states and the United Kingdom.",860730,NYSE,USD,USA,LIFE SCIENCES,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC","ONE PARK PLZ, NASHVILLE, TN, US",December,2022-03-31,64797958000,12531000000,10.14,1.189,0.74,1.92,0.0102,21.16,181.72,0.118,0.165,0.123,0.352,58752000000,22492000000,21.16,0.393,0.054,264.98,10.14,12.38,1.103,293.44,1.706,7.2,1.607,279.02,198.11,252.75,247.99,302018000,2022-06-30,2022-06-15
HOLX,Common Stock,Hologic Inc,"Hologic, Inc. is a medical technology company primarily focused on women's health; it sells medical devices for diagnostics, surgery, and medical imaging.",859737,NASDAQ,USD,USA,LIFE SCIENCES,X-RAY APPARATUS & TUBES & RELATED IRRADIATION APPARATUS,"250 CAMPUS DRIVE, MARLBOROUGH, MA, US",September,2022-03-31,18182369000,2653200000,10.97,0.933,17.94,0,0,6.65,21.48,0.312,0.406,0.166,0.441,5493600000,4074800000,6.65,-0.22,-0.086,79.3,10.97,13.59,3.31,3.746,3.478,7.59,1.122,81.04,60.1,73.89,73.96,249381000,None,None
HSIC,Common Stock,Henry Schein Inc,"Henry Schein, Inc. is an American distributor of health care products and services with a presence in 32 countries.",1000228,NASDAQ,USD,USA,TRADE & SERVICES,"WHOLESALE-MEDICAL, DENTAL & HOSPITAL EQUIPMENT & SUPPLIES","135 DURYEA RD, MELVILLE, NY, US",December,2021-12-31,11105961000,1057736000,18.08,2.049,24.97,0,0,4.45,88.52,0.0509,0.0684,0.0652,0.147,12401021000,3672251000,4.45,0.055,0.052,90.82,18.08,16.81,0.896,3.269,0.991,11.52,0.717,92.68,70.25,87.05,79.39,138048000,None,None
HUM,Common Stock,Humana Inc,"Humana Inc. is a for-profit American health insurance company based in Louisville, Kentucky.",49071,NYSE,USD,USA,FINANCE,HOSPITAL & MEDICAL SERVICE PLANS,"500 W MAIN ST, LOUISVILLE, KY, US",December,2022-03-31,54835982000,4547000000,19.12,1.366,124.84,2.8,0.0071,22.67,654.24,0.0348,0.0508,0.0674,0.197,84193001000,14994000000,22.67,0.178,0.105,506.1,19.12,18.55,0.651,3.671,0.749,-,0.939,472.29,350.57,439.77,429.11,126493000,2022-07-29,2022-06-29
IDXX,Common Stock,IDEXX Laboratories Inc,"IDEXX Laboratories, Inc. is an American multinational corporation  engaged in the development, manufacture, and distribution of products and services for the companion animal veterinary, livestock and poultry, water testing, and dairy markets.",874716,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"ONE IDEXX DRIVE, WESTBROOK, ME, US",December,2021-12-31,36421046000,1036624000,50.29,5.28,8.16,0,0,8.6,37.74,0.232,0.29,0.246,1.126,3215360000,1889432000,8.6,-0.061,0.111,674.57,50.29,46.3,11.33,52.54,11.55,35.81,1.003,706.95,420.62,513.36,595.0,84218000,None,None
ILMN,Common Stock,Illumina Inc,"Illumina, Inc. is an American company. Incorporated on April 1, 1998, Illumina develops, manufactures, and markets integrated systems for the analysis of genetic variation and biological function. The company provides a line of products and services that serves the sequencing, genotyping and gene expression, and proteomics markets. Its headquarters are located in San Diego, California.",1110803,NASDAQ,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"5200 ILLUMINA WAY, SAN DIEGO, CA, US",December,2021-12-31,47259927000,903000000,59.69,2.208,68.41,0,0,5.04,30.17,0.168,0.144,0.0357,0.0987,4526000000,3225000000,5.04,-0.597,0.258,413.17,59.69,71.43,10.44,4.339,10.56,39.97,0.931,526,292.51,332.65,392.85,157088000,None,None
INCY,Common Stock,Incyte Corporation,"Incyte Corp is an American pharmaceutical company based in Alapocas, Delaware.",879169,NASDAQ,USD,USA,TRADE & SERVICES,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,"1801 AUGUSTINE CUT-OFF, WILMINGTON, DE, US",December,2021-12-31,16590521000,659659000,17.55,0.573,17.05,0,0,4.27,13.55,0.318,0.201,0.0882,0.297,2986267000,1340078000,4.27,2.755,0.093,91.54,17.55,19.68,5.56,4.401,4.784,22.67,0.724,88.26,61.91,75.46,72.25,221325000,None,None
IQV,Common Stock,IQVIA Holdings Inc,"IQVIA, formerly Quintiles and IMS Health, Inc., is an American multinational company serving the combined industries of health information technology and clinical research. It is a provider of biopharmaceutical development and commercial outsourcing services, focused primarily on Phase I-IV clinical trials and associated laboratory and analytical services, including consulting services.",1478242,NYSE,USD,USA,TRADE & SERVICES,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,"4820 EMPEROR BLVD., DURHAM, NC, US",December,2022-03-31,41440010000,2499000000,43.85,1.28,31.7,0,0,4.95,72.49,0.0696,0.104,0.0367,0.158,13874000000,4641000000,4.95,1.677,0.102,263.82,43.85,21.28,2.987,6.97,3.757,18.64,1.457,285.61,204.5,228.03,247.97,190915000,None,None
ISRG,Common Stock,Intuitive Surgical Inc,"Intuitive Surgical, Inc. is an American corporation that develops, manufactures, and markets robotic products designed to improve clinical outcomes of patients through minimally invasive surgery, most notably with the da Vinci Surgical System.",1035267,NASDAQ,USD,USA,LIFE SCIENCES,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES","1020 KIFER ROAD, SUNNYVALE, CA, US",December,2022-03-31,86386590000,2128400000,51.64,14.8,33.27,0,0,4.66,16.04,0.298,0.319,0.0921,0.159,5710100000,3958500000,4.66,0.024,0.167,335.53,51.64,47.85,15.13,7.1,13.87,38.37,1.17,369.69,234.15,281.44,319.59,358957000,None,None
JNJ,Common Stock,Johnson & Johnson,"Johnson & Johnson (J&J) is an American multinational corporation founded in 1886 that develops medical devices, pharmaceuticals, and consumer packaged goods. Its common stock is a component of the Dow Jones Industrial Average and the company is ranked No. 36 on the 2021 Fortune 500 list of the largest United States corporations by total revenue. Johnson & Johnson is one of the world's most valuable companies, and is one of only two U.S.-based companies that has a prime credit rating of AAA, higher than that of the United States government.",200406,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"ONE JOHNSON & JOHNSON PLZ, NEW BRUNSWICK, NJ, US",December,2022-03-31,469755298000,32637000000,22.87,3.535,28.16,4.19,0.025,7.81,35.63,0.223,0.269,0.0884,0.304,93775004000,64020000000,7.81,1.723,0.104,191.42,22.87,17.61,5.01,6.41,5.02,21.77,0.72,186.69,154.86,175.18,169.46,2629620000,2022-06-07,2022-05-23
LH,Common Stock,Laboratory Corporation of America Holdings,"Laboratory Corporation of America Holdings, more commonly known as Labcorp, is an American company headquartered in Burlington, North Carolina. It operates one of the largest clinical laboratory networks in the world, with a United States network of 36 primary laboratories.",920148,NYSE,USD,USA,LIFE SCIENCES,SERVICES-MEDICAL LABORATORIES,"358 S MAIN ST, BURLINGTON, NC, US",December,2022-03-31,22856980000,4049300000,10.06,2.068,110.35,0,0.012,24.39,166.71,0.147,0.216,0.108,0.241,16120900000,5624300000,24.39,-0.397,-0.097,317.08,10.06,12.48,1.418,2.173,1.715,7.4,1.045,317.17,232.01,267.51,283.29,93176000,2022-06-09,2022-05-18
